SQ_CANDIDATO,SG_UE,NR_PARTIDO,CD_OCUPACAO,IDADE_DATA_POSSE,CD_GENERO,CD_GRAU_INSTRUCAO,CD_ESTADO_CIVIL,CD_NACIONALIDADE,SG_UF_NASCIMENTO,CD_MUNICIPIO_NASCIMENTO,TP_AGREMIACAO,COMP_COLIGACAO,QT_PART_COL,QT_BENS,VL_TOT_BENS,REC_PROP,REC_PF,REC_PJ,REC_PARTCAND,REC_OUTRAS,VR_DESPESA,VOTOS_PART_ELEC_ANT,QT_ELEITOS_ELEC_ANT,RESULTADO
250000081983,71072,13,999,61,2,8,9,1,29,37796,1,4,3,0,0.0,3000.0,0.0,3000.0,99660.43000000001,0.0,68853.08,736408,11,0
250000082036,71072,13,131,34,2,8,1,1,35,71072,1,4,3,3,76459.45,1000.0,0.0,800.0,51382.94,0.0,43088.2,736408,11,0
250000082029,71072,13,101,51,2,8,9,1,41,75051,1,4,3,3,330000.0,0.0,0.0,0.0,58427.31,0.0,31343.96,736408,11,0
250000082034,71072,13,131,40,4,8,1,1,35,71072,1,4,3,0,0.0,0.0,0.0,0.0,48955.490000000005,0.0,31488.71,736408,11,0
250000081972,71072,13,999,28,2,8,3,1,35,71072,1,4,3,3,118000.0,6700.0,0.0,50412.5,981833.6200000001,0.0,319898.77,736408,11,0
250000082026,71072,13,265,45,4,8,3,1,33,59153,1,4,3,0,0.0,0.0,0.0,0.0,35309.54,0.0,25309.54,736408,11,0
250000081989,71072,13,163,51,2,6,3,1,22,12190,1,4,3,0,0.0,0.0,0.0,0.0,49424.56,0.0,38009.17,736408,11,0
250000081971,71072,13,999,33,2,7,9,1,35,71072,1,4,3,2,113500.0,0.0,0.0,0.0,64297.06,0.0,35745.759999999995,736408,11,0
250000081991,71072,13,999,53,4,8,1,1,35,71072,1,4,3,1,6000.0,115.9,0.0,0.0,54183.08,0.0,34179.729999999996,736408,11,0
250000082066,71072,13,131,52,2,8,3,1,25,21270,1,4,3,3,87896.09,18000.0,0.0,0.0,254155.54,0.0,114962.57999999999,736408,11,0
